i a           b           c           F           
0 -2.5625e+12 20500000  -20500000 22500
320 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
321 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
322 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
323 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
324 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
325 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
326 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
327 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
328 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
329 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
330 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
331 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
332 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
333 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
334 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
335 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
336 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
337 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
338 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
339 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
340 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
341 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
342 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
343 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
344 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
345 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
346 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
347 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
348 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
349 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
350 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
351 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
352 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
353 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
354 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
355 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
356 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
357 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
358 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
359 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
360 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
361 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
362 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
363 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
364 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
365 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
366 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
367 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
368 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
369 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
370 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
371 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
372 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
373 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
374 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
375 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
376 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
377 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
378 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
379 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
380 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
381 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
382 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
383 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
384 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
385 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
386 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
387 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
388 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
389 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
390 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
391 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
392 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
393 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
394 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
395 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
396 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
397 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
398 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
399 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
400 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
401 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
402 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
403 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
404 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
405 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
406 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
407 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
408 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
409 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
410 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
411 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
412 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
413 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
414 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
415 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
416 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
417 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
418 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
419 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
